model,roc_auc,pr_auc_average_precision,brier_score,n_train,n_test,positives_train,positives_test
LightGBM,0.7041441294887958,0.0045307883287098285,0.00445195448917165,76474,24629,186,40
Logistic Regression,0.6571576721298141,0.0034401467853186476,0.22873731799575123,76474,24629,186,40
Extra Trees,0.5873774858676644,0.002512173134493558,0.06758067186346671,76474,24629,186,40
Random Forest,0.5287089755581764,0.0023492319678434974,0.00419566408946727,76474,24629,186,40
