model,roc_auc,pr_auc_average_precision,brier_score,n_train,n_test,positives_train,positives_test
LightGBM,0.7041441294887958,0.0045307883287098285,0.00445195448917165,76474,24629,186,40
Logistic Regression,0.6571576721298141,0.003440146785318647,0.2287373108681879,76474,24629,186,40
Extra Trees,0.5873774858676644,0.0025121731344935573,0.06758067186346671,76474,24629,186,40
Random Forest,0.5636788808003579,0.002196804110033665,0.004433136011146846,76474,24629,186,40
