model,model_family,roc_auc,pr_auc_average_precision,brier_score,n_train,n_test,positives_train,positives_test,lambda_ai,pos_weight,degree,teacher_selected_on_validation,selection_metric
LightGBM Teacher,AI teacher,0.7272022042376672,0.0315332729116373,0.0016191607301533,,24629,,40,,,,,
AI-guided VC Student,AI-guided VC,0.728151815852617,0.0063552967547973,0.4212326049436335,76474.0,24629,186.0,40,0.05,20.0,3.0,LightGBM Teacher,validation PR-AUC
VC Student (validation-selected),AI-guided VC,0.7191498230916263,0.0051707167600746,0.147522854526799,76474.0,24629,186.0,40,0.0,5.0,3.0,LightGBM Teacher,validation PR-AUC
LightGBM,Baseline,0.7041441294887958,0.0045307883287098,0.0044519544891716,76474.0,24629,186.0,40,,,,,
Logistic Regression,Baseline,0.6571576721298141,0.0034401467853186,0.2287373108681879,76474.0,24629,186.0,40,,,,,
Extra Trees,Baseline,0.5873774858676644,0.0025121731344935,0.0675806718634667,76474.0,24629,186.0,40,,,,,
Random Forest,Baseline,0.5636788808003579,0.0021968041100336,0.0044331360111468,76474.0,24629,186.0,40,,,,,
